幅	高さ	表示名
7680	4320	7680 x 4320 (4320p / 8K / SHV / 16:9)
4096	2160	4096 x 2160 (4Kデジタルシネマ / 256:135)
3840	2400	3840 x 2400 (QUXGA+ / 16:10)
3840	2160	3840 x 2160 (2160p / 4K / UHD / 16:9)
3200	2400	3200 x 2400 (QUXGA / 4:3)
3200	1800	3200 x 1800 (WQHD+ / 16:9)
2800	1800	2800 x 1800 (QWXGA+ / 16:10)
2560	1600	2560 x 1600 (WQXGA / 16:10)
2560	1440	2560 x 1440 (1440p / WQHD / 16:9)
2048	1536	2048 x 1536 (QXGA / 4:3)
2048	1152	2048 x 1152 (QWXGA / 16:9)
1920	1200	1920 x 1200 (WUXGA / 16:10)
1920	1080	1920 x 1080 (1080p / 2K / FHD / 16:9)
1600	1200	1600 x 1200 (UXGA / 4:3)
1680	1050	1680 x 1050 (WSXGA+ / 16:10)
1600	1024	1600 x 1024 (WSXGA / 25:16)
1400	1050	1400 x 1050 (SXGA+ / 4:3)
1280	1024	1280 x 1024 (SXGA / 5:4)
1440	1080	1440 x 1080 (ハイビジョン / HD / 4:3)
1440	900	1440 x 900 (WXGA+ / 16:10)
1280	960	1280 x 960 (QVGA / 4:3)
1366	768	1366 x 768 (FWXGA / 16:9)
1280	800	1280 x 800 (WXGA / 16:10)
1280	720	1280 x 720 (720p / HDTV / 16:9)
1152	864	1152 x 864 (XGA+ / 4:3)
1280	768	1280 x 768 (WXGA / 15:9)
1024	768	1024 x 768 (XGA / 4:3)
1024	600	1024 x 600 (WSVGA / 128:75)
800	600	800 x 600 (SVGA / 4:3)
800	480	800 x 480 (WVGA / 15:9)
720	480	720 x 480 (480p / SDTV / 16:9)
640	480	640 x 480 (VGA / 4:3)
640	360	640 x 360 (360p / 16:9)
480	320	480 x 320 (HVGA / 3:2)
480	272	480 x 272 (WQVGA / 16:9)
427	240	427 x 240 (240p / 16:9)
400	240	400 x 240 (WQVGA / 15:9)
320	240	320 x 240 (QVGA / 4:3)
256	144	256 x 144 (144p / 16:9)
176	144	176 x 144 (QCIF / 4:3)
160	120	160 x 120 (QQVGA / 4:3)
